source,timestamp_or_frame_number,yolo_count,yolo_gt_count,yolo_error,csrnet_count,csrnet_gt_count,csrnet_error,overlap_ratio,abs_difference,pct_difference
images,IMG_99_jpg.rf.3c22b9619730f72f4b03259cc0635010.jpg,300,0,300.00,347.19,0,347.19,0.013,47.19,15.73
images,img_1005_jpg.rf.98f15712f67edd78ce9be364d40e1369.jpg,46,53,7.00,242.06,333,90.94,0.000,196.06,426.22
images,img_1006_jpg.rf.0c6bd53a79bb5691bfd63c40ac35666e.jpg,106,285,179.00,49.02,37,12.02,0.000,56.98,53.76
images,img_1006_jpg.rf.543ef81584b89678acb7739db1e4b568.jpg,122,292,170.00,49.02,37,12.02,0.000,72.98,59.82
images,img_1007_jpg.rf.6417ff837e75756e6c77604aae269518.jpg,256,387,131.00,178.42,148,30.42,0.000,77.58,30.31
images,img_1008_jpg.rf.81c92914380fc724b5ecdf92851160f4.jpg,27,36,9.00,165.92,157,8.92,0.000,138.92,514.53
images,img_1008_jpg.rf.c5632d8e7ceae81c18920896030fc3b0.jpg,29,37,8.00,165.92,157,8.92,0.000,136.92,472.15
images,img_1009_jpg.rf.5fa5af0f34e37fb8c18dce467e0dbed9.jpg,13,24,11.00,28.70,30,1.30,0.154,15.70,120.76
images,img_100_jpg.rf.4fd934d44b6151868f4909aded345154.jpg,45,57,12.00,440.73,418,22.73,0.044,395.73,879.40
images,img_1015_jpg.rf.1c1131e3661c04d96239b655de655253.jpg,37,56,19.00,206.28,187,19.28,0.000,169.28,457.53
images,img_1015_jpg.rf.d9cfb4bcae64be939828d90636b6a2f4.jpg,32,54,22.00,206.28,187,19.28,0.000,174.28,544.64
images,img_1016_jpg.rf.11c1b0dd13624f13a775f041d2149317.jpg,112,195,83.00,29.38,28,1.38,0.000,82.62,73.76
images,img_1017_jpg.rf.5f998b8c57a090a1981a28fd0526a295.jpg,42,153,111.00,21.73,21,0.73,0.000,20.27,48.25
images,img_1018_jpg.rf.d37a4866d4469cd7a8bb7e73d4d622fa.jpg,27,29,2.00,21.75,42,20.25,0.000,5.25,19.46
images,img_1019_jpg.rf.2cf09eb919fe36c3899e8753ceec1c5c.jpg,32,24,8.00,47.28,18,29.28,0.000,15.28,47.74
images,img_1022_jpg.rf.20da8046c16110692372ce46e36d9440.jpg,34,248,214.00,11.55,13,1.45,0.059,22.45,66.02
images,img_1022_jpg.rf.3984fc7d5184acb6fa6a5ffc7419137e.jpg,30,246,216.00,11.55,13,1.45,0.000,18.45,61.49
images,img_1022_jpg.rf.3b9520e29ffd292d894c0ba66d769288.jpg,32,248,216.00,11.55,13,1.45,0.000,20.45,63.90
images,img_1025_jpg.rf.78c592d4583d71991a37ae27bf76e4a0.jpg,77,97,20.00,131.48,79,52.48,0.000,54.48,70.75
images,img_1029_jpg.rf.aad6f1c424c4db50e218d0d14c2732bf.jpg,37,69,32.00,46.53,47,0.47,0.000,9.53,25.77
images,img_102_jpg.rf.3bd786715a4a91416e4df241ae33c851.jpg,49,52,3.00,56.87,55,1.87,0.000,7.87,16.05
images,img_1030_jpg.rf.94e41665a8b33598e86ac47ff08f5da2.jpg,51,81,30.00,348.17,330,18.17,0.000,297.17,582.68
images,img_1032_jpg.rf.afbb3278290f4343503d0c80acab14f5.jpg,218,291,73.00,24.63,19,5.63,0.000,193.37,88.70
images,img_1033_jpg.rf.11504434ba72dfd00267ac2201ef290e.jpg,40,112,72.00,72.62,58,14.62,0.050,32.62,81.54
images,img_1033_jpg.rf.23c79de0f87a344adac08de45a817031.jpg,40,111,71.00,72.62,58,14.62,0.000,32.62,81.54
images,img_1033_jpg.rf.dab72d7d209dd823f3abbd4fed456287.jpg,30,111,81.00,72.62,58,14.62,0.000,42.62,142.06
images,img_1033_jpg.rf.db0d7a2cce7d3cea557f3bd4ce060063.jpg,26,106,80.00,72.62,58,14.62,0.000,46.62,179.30
images,img_1035_jpg.rf.aa2fb3ee57678e59c2658ebbabd483b8.jpg,37,60,23.00,302.00,336,34.00,0.000,265.00,716.21
images,img_1036_jpg.rf.653fd7a105fe3cb7d2baec28e20b7681.jpg,25,37,12.00,38.52,34,4.52,0.000,13.52,54.09
images,img_1037_jpg.rf.1064296a0d945989d9734e272b437969.jpg,15,17,2.00,79.92,120,40.08,0.000,64.92,432.80
images,img_1038_jpg.rf.404240911c9dedc7e173f36620f1f970.jpg,47,357,310.00,113.79,104,9.79,0.000,66.79,142.10
images,img_1038_jpg.rf.c8e93b155955f3a56c054e74894e8dda.jpg,48,342,294.00,113.79,104,9.79,0.000,65.79,137.06
images,img_1040_jpg.rf.365789f7fec8662467d5718140aca487.jpg,27,92,65.00,1154.32,2654,1499.68,0.000,1127.32,4175.24
images,img_1042_jpg.rf.bd113495f26b768fdf82f8a63af58277.jpg,55,107,52.00,46.10,36,10.10,0.000,8.90,16.18
images,img_1042_jpg.rf.ef1604b44813d4f8fae315b6e1edc377.jpg,61,106,45.00,46.10,36,10.10,0.000,14.90,24.43
images,img_1043_jpg.rf.24b6877afcc840121bacb3c24c929b54.jpg,19,111,92.00,57.92,52,5.92,0.000,38.92,204.83
images,img_1043_jpg.rf.5f1b3a8a3b825d07353d43e5fc39b68b.jpg,29,111,82.00,57.92,52,5.92,0.000,28.92,99.71
images,img_1044_jpg.rf.4288db29bd139088a62c46ba46818f46.jpg,70,84,14.00,186.90,179,7.90,0.000,116.90,167.00
images,img_1046_jpg.rf.9f720dcec698a2419ce1bb781209455e.jpg,209,648,439.00,1021.03,1212,190.97,0.000,812.03,388.53
images,img_1047_jpg.rf.a5ed962baeac72218d9554fcc911c21b.jpg,97,979,882.00,66.30,82,15.70,0.000,30.70,31.65
images,img_1047_jpg.rf.e3f698d07737f88b31eba88318e2feac.jpg,113,974,861.00,66.30,82,15.70,0.000,46.70,41.32
images,img_1047_jpg.rf.ea9e8139ad88d7ae1625253032ab9016.jpg,121,947,826.00,66.30,82,15.70,0.000,54.70,45.20
images,img_104_jpg.rf.b45c56a6d1d2b41a61ec0b9ac3004023.jpg,65,100,35.00,1.90,0,1.90,0.000,63.10,97.08
images,img_1051_jpg.rf.1bff9a4fa4921fba7469a421d5cb6fd1.jpg,135,181,46.00,40.03,39,1.03,0.000,94.97,70.35
images,img_1052_jpg.rf.f1104efebe4f716f59a3005ca71cc3f8.jpg,229,401,172.00,320.47,399,78.53,0.009,91.47,39.94
images,img_1054_jpg.rf.725177e166a0b6b96d8f7773e5b76e3f.jpg,296,806,510.00,570.99,703,132.01,0.000,274.99,92.90
images,img_1054_jpg.rf.9a9a7c5f2d4cf00ec62cfabb6b55b60c.jpg,240,778,538.00,570.99,703,132.01,0.008,330.99,137.91
images,img_1055_jpg.rf.2717edf11fa17b3f4729a8d5d19a5119.jpg,68,237,169.00,41.65,55,13.35,0.000,26.35,38.75
images,img_1055_jpg.rf.67356b65096504be227d1b7cfa078823.jpg,98,243,145.00,41.65,55,13.35,0.000,56.35,57.50
images,img_1055_jpg.rf.90148491a861359d171f6376f82b9c28.jpg,121,227,106.00,41.65,55,13.35,0.033,79.35,65.58
images,img_1056_jpg.rf.894542517b74215725f81320fcc4e994.jpg,242,693,451.00,272.34,310,37.66,0.000,30.34,12.54
images,img_1056_jpg.rf.d16f442ce0fa50021812875cd696c94b.jpg,173,693,520.00,272.34,310,37.66,0.000,99.34,57.42
images,img_1057_jpg.rf.48c7061cc33a344b43db870e903a25c3.jpg,149,179,30.00,481.46,469,12.46,0.000,332.46,223.13
images,img_1057_jpg.rf.8989df1c9486392bbb20bafd54cc7c6f.jpg,158,183,25.00,481.46,469,12.46,0.000,323.46,204.72
images,img_1058_jpg.rf.66dde0de33224eb868c6248953b917cf.jpg,221,367,146.00,663.41,1140,476.59,0.000,442.41,200.18
images,img_105_jpg.rf.3f0d53634fe5936fcd2b44af43f09032.jpg,40,76,36.00,1430.28,1894,463.72,0.000,1390.28,3475.71
images,img_105_jpg.rf.85a488d4cef924254c3428af00d3602d.jpg,39,76,37.00,1430.28,1894,463.72,0.000,1391.28,3567.39
images,img_1065_jpg.rf.51caec3f77944e712eb79494fb2ead33.jpg,143,181,38.00,129.94,160,30.06,0.000,13.06,9.13
images,img_1065_jpg.rf.f42869c3c56090c0344bb0b49e046c6a.jpg,142,184,42.00,129.94,160,30.06,0.000,12.06,8.49
images,img_1066_jpg.rf.b6611b5f1958f8eb72842b40f3bd57ba.jpg,230,277,47.00,40.39,47,6.61,0.000,189.61,82.44
images,img_1067_jpg.rf.2d844ef26798c021fb54862003aa175d.jpg,132,142,10.00,56.92,66,9.08,0.000,75.08,56.88
images,img_1067_jpg.rf.8832936d77d247ca1b47a8dbc10a6e66.jpg,125,141,16.00,56.92,66,9.08,0.000,68.08,54.47
images,img_1067_jpg.rf.ba4b5286001cffff69ef64871b72c61a.jpg,133,137,4.00,56.92,66,9.08,0.000,76.08,57.21
images,img_1068_jpg.rf.713ca74778b98188ed94235ec5e77c7b.jpg,46,239,193.00,436.25,494,57.75,0.000,390.25,848.36
images,img_1068_jpg.rf.7b27e8fc170828bc9845bc20a8f332c2.jpg,54,239,185.00,436.25,494,57.75,0.000,382.25,707.86
images,img_1068_jpg.rf.daa9e808fb3f38b65a9dc1a545df4683.jpg,47,239,192.00,436.25,494,57.75,0.000,389.25,828.18
images,img_106_jpg.rf.1c1c59216ac900fec5a298a3c28b2da7.jpg,21,21,0.00,212.63,236,23.37,0.000,191.63,912.54
images,img_1070_jpg.rf.62c59ea865c541c77701c54e7b18f188.jpg,249,390,141.00,1115.10,1176,60.90,0.000,866.10,347.83
images,img_1070_jpg.rf.7deabde240f83d116307af0bced14e3f.jpg,240,396,156.00,1115.10,1176,60.90,0.008,875.10,364.62
images,img_1072_jpg.rf.3bffd7574cc47b164e63fb76b1b9ad8d.jpg,148,222,74.00,143.65,117,26.65,0.000,4.35,2.94
images,img_1072_jpg.rf.d85f7e2e45f5fb41a4642407cdf24feb.jpg,169,935,766.00,143.65,117,26.65,0.000,25.35,15.00
images,img_1074_jpg.rf.2acf94bde081e859e01443a7f3726cd9.jpg,195,361,166.00,91.18,99,7.82,0.000,103.82,53.24
images,img_1074_jpg.rf.706bd7089da6515e0093994077f1819f.jpg,207,356,149.00,91.18,99,7.82,0.000,115.82,55.95
images,img_1074_jpg.rf.f795a22343f83ee5a19aebc9e01b446e.jpg,207,357,150.00,91.18,99,7.82,0.014,115.82,55.95
images,img_1075_jpg.rf.7873dfbe235a749cfc6e341c0cceaa6b.jpg,36,102,66.00,103.07,158,54.93,0.000,67.07,186.31
images,img_1076_jpg.rf.c7516719053630a0d4cbe88b27abee20.jpg,67,83,16.00,62.65,66,3.35,0.030,4.35,6.49
images,img_1077_jpg.rf.0d5470074562d595171889cd40316543.jpg,32,250,218.00,2104.07,3717,1612.93,0.000,2072.07,6475.22
images,img_1077_jpg.rf.2b4fbaf20c11f6be74f58c9767e63cee.jpg,44,252,208.00,2104.07,3717,1612.93,0.000,2060.07,4681.97
images,img_1077_jpg.rf.baf364ed584c94110a739dab1fdd146f.jpg,50,252,202.00,2104.07,3717,1612.93,0.000,2054.07,4108.14
images,img_1079_jpg.rf.4305c3fcd4b1cfc2f79b27524d336817.jpg,135,157,22.00,26.89,28,1.11,0.000,108.11,80.08
images,img_1079_jpg.rf.a42b93457b6697d1e9bbb8f2d00689d1.jpg,125,157,32.00,26.89,28,1.11,0.000,98.11,78.48
images,img_107_jpg.rf.7ae0ff5844e112c8c8af7eab00ffcab5.jpg,43,61,18.00,50.42,53,2.58,0.047,7.42,17.25
images,img_1080_jpg.rf.99bd2abd76fab328a1bed2129e2cf731.jpg,95,636,541.00,277.36,335,57.64,0.000,182.36,191.95
images,img_1082_jpg.rf.b1402a8b7040f20a5f744b52568f68cb.jpg,21,29,8.00,255.49,124,131.49,0.000,234.49,1116.63
images,img_1084_jpg.rf.06064ab4436363748f0ec2a5a1ad68e8.jpg,26,29,3.00,74.95,67,7.95,0.000,48.95,188.27
images,img_1084_jpg.rf.b69badb8629e8ddf21969d9801a3483c.jpg,26,29,3.00,74.95,67,7.95,0.000,48.95,188.27
images,img_1085_jpg.rf.bf6139c8bbfed54d7fb16d1d2db82106.jpg,80,130,50.00,126.55,130,3.45,0.025,46.55,58.19
images,img_1086_jpg.rf.2fbd6d074c252bdafec31856e8b4a681.jpg,28,45,17.00,9.12,9,0.12,0.000,18.88,67.44
images,img_1086_jpg.rf.b39c96ca010e3b251636273ecf2533ff.jpg,26,44,18.00,9.12,9,0.12,0.000,16.88,64.94
images,img_1087_jpg.rf.257dccca2a63a4318fe1bd4022a6e7b9.jpg,45,205,160.00,162.19,152,10.19,0.000,117.19,260.42
images,img_1087_jpg.rf.31adbf3958f0c8a293c86642f9f0e18d.jpg,43,205,162.00,162.19,152,10.19,0.000,119.19,277.19
images,img_108_jpg.rf.127f71f29d9f55e8eded3868fa871363.jpg,18,20,2.00,33.30,30,3.30,0.111,15.30,85.01
images,img_1090_jpg.rf.c5dc2b499cd829c9c2a62d08669c8c51.jpg,57,94,37.00,86.78,92,5.22,0.000,29.78,52.25
images,img_1092_jpg.rf.500dbe3aec1dab5a4af41113991b3039.jpg,39,134,95.00,17.55,14,3.55,0.000,21.45,55.00
images,img_1093_jpg.rf.8fa4953d2dcf507eb8b69dd34f73b307.jpg,89,102,13.00,43.84,28,15.84,0.000,45.16,50.75
images,img_1094_jpg.rf.9727c3f042df425bca7961f03aa1ed78.jpg,48,75,27.00,97.28,100,2.72,0.000,49.28,102.68
images,img_1095_jpg.rf.dcd53581a4faab8b273f740585754914.jpg,103,321,218.00,251.89,243,8.89,0.000,148.89,144.55
images,img_1096_jpg.rf.494feb744c2dcc153d532e3ace4e944b.jpg,51,96,45.00,432.36,374,58.36,0.000,381.36,747.76
images,img_1098_jpg.rf.7d65c72c8812c3a921678976d7477ea0.jpg,13,33,20.00,223.51,277,53.49,0.000,210.51,1619.30
images,img_1099_jpg.rf.0d80d1f35db1a7c1d2bd763a2f905c57.jpg,32,103,71.00,46.88,49,2.12,0.062,14.88,46.50
images,img_1099_jpg.rf.a9dda9b034989e23936fdce06d7fa005.jpg,38,103,65.00,46.88,49,2.12,0.000,8.88,23.37
images,img_109_jpg.rf.8fc674a9478f25bad123a9c3aea4f4d4.jpg,212,592,380.00,24.24,19,5.24,0.000,187.76,88.57
